Date,Price,Open,High,Low,Volume,Chg
May 27-2020,58078.80,57825.00,58200.00,57500.00,5430.0,0.61
May 26-2020,57726.10,57834.80,58199.95,57195.15,6260.0,0.51
May 22-2020,57434.10,57309.45,57890.00,57000.00,4100.0,-0.03
May 21-2020,57451.50,57399.00,58260.00,57300.00,4820.0,0.27
May 20-2020,57298.90,57200.00,57400.00,56745.05,7050.0,0.83
May 19-2020,56828.20,56850.00,57400.00,56600.00,6470.0,0.84
May 18-2020,56356.05,58235.00,58499.95,56150.00,9020.0,-3.06
May 15-2020,58135.55,58751.00,58751.00,57775.00,8050.0,0.01
May 14-2020,58132.60,58676.00,59125.00,57925.40,6590.0,-2.54
May 13-2020,59645.15,58850.00,60200.00,58221.50,16230.0,3.49
May 12-2020,57632.10,58500.00,58629.90,57318.85,8180.0,-1.97
May 11-2020,58791.20,59025.00,59450.00,58286.00,12170.0,-0.14
May 08-2020,58874.90,58902.00,59783.05,58450.00,9750.0,0.07
May 07-2020,58831.05,58000.00,59000.00,58000.00,7490.0,0.80
May 06-2020,58362.70,58350.00,58790.00,57200.10,8360.0,1.06
May 05-2020,57750.00,58647.00,59350.00,57500.00,9620.0,-0.41
May 04-2020,57987.30,59499.95,59499.95,57700.00,9680.0,-4.17
Apr 30-2020,60510.65,59800.00,61800.00,59499.95,18800.0,2.21
Apr 29-2020,59203.70,59100.00,59750.00,58900.00,8040.0,0.22
Apr 28-2020,59075.70,59800.00,59800.00,58550.00,6230.0,-0.22
Apr 27-2020,59206.55,59700.00,60290.00,58805.40,7820.0,0.68
Apr 24-2020,58805.40,58225.00,59200.00,58000.00,8120.0,0.16
Apr 23-2020,58712.35,58547.00,59341.85,58500.00,8690.0,0.84
Apr 22-2020,58221.95,58875.00,59489.90,57829.00,14950.0,-1.09
Apr 21-2020,58864.75,60500.00,60793.60,58500.70,12670.0,-4.10
Apr 20-2020,61384.00,62000.00,62000.00,61150.00,9850.0,-0.41
Apr 17-2020,61638.30,61541.90,62340.00,61000.00,15850.0,1.98
Apr 16-2020,60441.90,57390.00,62000.00,57012.10,22060.0,5.27
Apr 15-2020,57417.75,58500.00,58500.00,56760.00,17190.0,0.03
Apr 13-2020,57399.20,59500.00,59831.40,57101.00,13750.0,-4.36
Apr 09-2020,60017.90,58599.00,60460.05,57700.20,17980.0,4.98
Apr 08-2020,57172.75,56600.00,59500.00,56300.00,15230.0,-0.92
Apr 07-2020,57701.05,56500.00,58088.00,56055.05,18690.0,4.79
Apr 03-2020,55062.25,55600.00,56200.00,54500.00,33130.0,-0.08
Apr 01-2020,55108.85,57900.00,57900.00,54675.45,20660.0,-5.25
Mar 31-2020,58164.45,54600.00,59312.00,54121.05,25760.0,6.97
Mar 30-2020,54375.70,54700.00,55270.00,53522.90,39110.0,-3.54
Mar 27-2020,56371.25,57940.00,58200.00,53620.00,15880.0,1.86
Mar 26-2020,55343.75,56600.00,60742.65,54900.00,16480.0,-2.18
Mar 25-2020,56579.25,50155.55,57700.00,50155.55,16480.0,7.57
Mar 24-2020,52597.70,55000.00,55000.00,49915.10,15770.0,1.21
Mar 23-2020,51970.25,55905.00,56998.85,51500.00,20520.0,-11.90
Mar 20-2020,58988.95,58199.95,61111.10,57534.70,12330.0,2.05
Mar 19-2020,57803.75,58950.00,59870.00,56950.50,18080.0,-3.53
Mar 18-2020,59921.15,62899.95,63395.10,59200.00,12220.0,-3.57
Mar 17-2020,62140.70,61295.05,63749.80,60350.05,14680.0,1.38
Mar 16-2020,61295.05,62000.00,63899.85,60309.05,11330.0,-7.03
Mar 13-2020,65929.35,56030.00,66300.00,56030.00,15210.0,8.87
Mar 12-2020,60555.25,62001.00,62888.20,58000.00,17340.0,-4.77
Mar 11-2020,63589.85,64200.00,65687.30,62703.00,15620.0,-1.05
Mar 09-2020,64261.85,65800.00,65800.00,63052.45,9600.0,-3.14
Mar 06-2020,66348.15,66389.00,66500.20,63858.55,9850.0,-1.45
Mar 05-2020,67325.15,67300.05,68169.90,66809.50,5750.0,0.41
Mar 04-2020,67053.35,67270.00,67698.80,66100.00,8190.0,-1.01
Mar 03-2020,67740.70,66799.00,68558.35,65600.00,8200.0,2.67
Mar 02-2020,65976.30,66891.00,67595.90,65551.00,6420.0,-0.63
Feb 28-2020,66393.20,66400.00,67296.65,65315.00,11770.0,-1.73
Feb 27-2020,67559.45,68180.00,68339.95,66730.70,6860.0,-0.85
Feb 26-2020,68140.00,69134.00,69403.95,67850.00,5160.0,-1.44
Feb 25-2020,69133.45,69100.00,69798.90,68500.00,6210.0,0.38
Feb 24-2020,68874.70,70888.00,70888.00,68500.15,4300.0,-2.70
Feb 20-2020,70789.50,69959.30,71232.60,69751.10,8470.0,1.19
Feb 19-2020,69959.30,70290.00,70437.15,69500.00,5730.0,0.38
Feb 18-2020,69693.60,71500.00,71500.00,69525.00,9600.0,-2.25
Feb 17-2020,71299.80,71800.00,72333.00,71200.00,3950.0,-0.70
Feb 14-2020,71799.20,71800.00,72519.20,71100.00,7020.0,0.38
Feb 13-2020,71525.15,71967.00,71967.00,70901.10,5180.0,-0.21
Feb 12-2020,71675.95,71755.00,72809.30,71400.00,5900.0,0.41
Feb 11-2020,71381.70,73200.00,73500.00,71111.00,13410.0,-2.55
Feb 10-2020,73247.90,71490.00,73500.00,69800.00,29310.0,3.22
Feb 07-2020,70960.45,71899.00,71900.00,70371.25,5970.0,-0.94
Feb 06-2020,71636.35,72599.00,73100.00,71260.00,5930.0,-1.04
